CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Especialidade
Período:Fev/2020
"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"220070 Anísio de Abreu";-;4;6;-;-;-;10
"220090 Aroazes";-;2;2;2;-;-;6
"220100 Arraial";-;4;-;-;-;-;4
"220110 Avelino Lopes";3;7;3;5;-;-;18
"220115 Baixa Grande do Ribeiro";3;6;-;2;-;-;11
"220120 Barras";16;21;15;20;2;-;74
"220140 Barro Duro";5;8;5;7;-;-;25
"220150 Batalha";-;12;3;8;-;-;23
"220160 Beneditinos";-;9;1;5;-;-;15
"220170 Bertolínia";-;4;-;-;-;-;4
"220180 Bocaina";-;6;8;7;-;-;21
"220190 Bom Jesus";10;17;12;9;2;-;50
"220191 Bom Princípio do Piauí";-;2;-;4;-;-;6
"220196 Brasileira";-;5;2;3;-;-;10
"220200 Buriti dos Lopes";-;30;2;8;-;-;40
"220202 Buriti dos Montes";-;4;4;8;-;-;16
"220220 Campo Maior";49;76;39;44;-;-;208
"220225 Canavieira";-;4;-;-;-;-;4
"220230 Canto do Buriti";6;7;5;3;2;-;23
"220240 Capitão de Campos";-;4;3;2;-;-;9
"220250 Caracol";-;5;2;4;-;-;11
"220260 Castelo do Piauí";2;21;9;6;-;-;38
"220270 Cocal";-;17;-;6;-;-;23
"220277 Colônia do Piauí";1;2;2;2;-;-;7
"220280 Conceição do Canindé";-;20;10;15;-;-;45
"220290 Corrente";9;8;13;11;4;-;45
"220300 Cristalândia do Piauí";1;5;5;2;-;-;13
"220310 Cristino Castro";-;16;-;5;-;-;21
"220320 Curimatá";4;15;8;6;1;-;34
"220330 Demerval Lobão";6;10;8;-;-;-;24
"220335 Dirceu Arcoverde";-;3;-;4;-;-;7
"220350 Elesbão Veloso";5;15;6;8;-;-;34
"220360 Eliseu Martins";-;8;-;-;-;-;8
"220370 Esperantina";22;27;12;14;-;-;75
"220380 Flores do Piauí";-;2;-;-;-;-;2
"220390 Floriano";56;88;45;11;18;-;218
"220400 Francinópolis";-;6;3;5;-;-;14
"220410 Francisco Ayres";-;4;-;-;-;-;4
"220420 Francisco Santos";-;6;3;5;-;-;14
"220430 Fronteiras";1;13;5;6;-;-;25
"220440 Gilbués";-;4;2;3;-;-;9
"220450 Guadalupe";6;7;10;7;2;-;32
"220470 Inhuma";-;6;3;2;-;-;11
"220480 Ipiranga do Piauí";-;6;3;4;2;-;15
"220490 Isaías Coelho";2;10;5;3;-;-;20
"220500 Itainópolis";3;10;2;6;-;-;21
"220510 Itaueira";4;4;5;13;-;-;26
"220520 Jaicós";3;24;3;5;-;-;35
"220530 Jerumenha";-;7;-;-;-;-;7
"220540 Joaquim Pires";2;6;3;6;-;-;17
"220545 Joca Marques";-;3;1;2;-;-;6
"220550 José de Freitas";-;16;4;4;-;-;24
"220553 Jurema";-;10;-;3;-;-;13
"220555 Lagoa Alegre";-;6;-;4;-;-;10
"220560 Landri Sales";1;7;-;-;-;-;8
"220570 Luís Correia";-;35;-;8;-;-;43
"220580 Luzilândia";14;12;6;6;-;-;38
"220585 Madeiro";-;4;2;1;-;-;7
"220590 Manoel Emídio";2;3;4;2;-;-;11
"220595 Marcolândia";8;16;8;6;-;-;38
"220600 Marcos Parente";-;6;2;3;-;-;11
"220610 Matias Olímpio";3;4;2;6;-;-;15
"220620 Miguel Alves";-;16;4;2;-;-;22
"220640 Monsenhor Gil";-;8;1;4;-;-;13
"220650 Monsenhor Hipólito";4;6;4;6;-;-;20
"220660 Monte Alegre do Piauí";5;10;5;5;-;-;25
"220670 Nazaré do Piauí";-;4;-;2;-;-;6
"220680 Nossa Senhora dos Remédios";-;6;-;3;-;-;9
"220690 Novo Oriente do Piauí";-;5;-;3;-;-;8
"220700 Oeiras";25;43;16;19;-;-;103
"220720 Padre Marcos";11;8;10;7;-;-;36
"220730 Paes Landim";-;8;-;-;-;-;8
"220740 Palmeira do Piauí";-;3;5;4;-;-;12
"220750 Palmeirais";-;10;2;4;-;-;16
"220760 Parnaguá";-;9;2;6;-;-;17
"220770 Parnaíba";125;238;77;81;22;30;573
"220780 Paulistana";16;25;20;14;-;-;75
"220790 Pedro II";9;26;20;14;-;-;69
"220800 Picos";82;53;62;110;-;5;312
"220810 Pimenteiras";2;6;4;4;-;-;16
"220820 Pio IX";4;13;5;13;-;-;35
"220830 Piracuruca";16;20;11;13;5;-;65
"220840 Piripiri";38;32;20;10;-;-;100
"220850 Porto";-;8;3;6;-;-;17
"220855 Porto Alegre do Piauí";-;3;-;-;-;-;3
"220860 Prata do Piauí";-;2;2;4;8;-;16
"220870 Redenção do Gurguéia";7;4;4;4;-;-;19
"220880 Regeneração";7;12;5;5;-;-;29
"220890 Ribeiro Gonçalves";-;10;3;4;-;-;17
"220900 Rio Grande do Piauí";-;2;-;-;-;-;2
"220910 Santa Cruz do Piauí";6;5;6;4;-;-;21
"220920 Santa Filomena";2;2;3;3;-;-;10
"220937 Santa Rosa do Piauí";-;6;-;10;-;-;16
"220940 Santo Antônio de Lisboa";-;3;-;1;-;-;4
"220950 Santo Inácio do Piauí";-;2;3;2;-;-;7
"220960 São Félix do Piauí";-;10;4;6;-;-;20
"220970 São Francisco do Piauí";-;7;-;-;-;-;7
"220980 São Gonçalo do Piauí";-;6;-;6;-;-;12
"220990 São João da Serra";-;6;4;2;-;-;12
"221000 São João do Piauí";17;31;22;5;-;-;75
"221010 São José do Peixe";-;4;-;2;-;-;6
"221020 São José do Piauí";-;5;-;3;-;-;8
"221030 São Julião";1;10;7;11;-;-;29
"221040 São Miguel do Tapuio";4;17;12;6;-;-;39
"221050 São Pedro do Piauí";9;14;10;8;-;-;41
"221060 São Raimundo Nonato";71;100;73;31;1;-;276
"221070 Simões";8;14;16;13;1;-;52
"221080 Simplício Mendes";5;12;10;3;2;-;32
"221090 Socorro do Piauí";3;3;3;3;-;-;12
"221100 Teresina";988;944;375;333;456;66;3162
"221110 União";-;33;10;7;-;-;50
"221120 Uruçuí";9;17;5;6;-;-;37
"221130 Valença do Piauí";8;19;12;7;-;-;46
"221140 Várzea Grande";-;7;4;3;-;-;14
"221170 Wall Ferraz";8;4;4;3;-;-;19
"230010 Abaiara";-;1;-;-;-;-;1
"230020 Acaraú";9;26;24;12;2;-;73
"230030 Acopiara";24;38;22;12;2;-;98
"230040 Aiuaba";-;18;5;6;-;-;29
"230060 Altaneira";-;12;3;4;-;-;19
"230070 Alto Santo";8;14;3;8;-;-;33
"230075 Amontada";4;20;10;6;-;-;40
"230080 Antonina do Norte";-;10;2;4;-;-;16
"230090 Apuiarés";-;5;3;4;-;-;12
"230100 Aquiraz";8;16;8;8;83;-;123
"230110 Aracati";25;29;20;15;1;13;103
"230120 Aracoiaba";27;10;7;6;-;-;50
"230125 Ararendá";2;8;4;6;-;-;20
"230130 Araripe";7;13;10;12;-;-;42
"230140 Aratuba";-;5;3;3;1;-;12
"230150 Arneiroz";-;8;4;4;-;-;16
"230160 Assaré";-;29;9;6;2;-;46
"230170 Aurora";22;22;21;24;-;-;89
"230180 Baixio";-;11;2;6;-;-;19
"230185 Banabuiú";-;11;3;3;-;-;17
"230190 Barbalha";136;150;43;51;4;2;386
"230195 Barreira";-;15;6;4;-;-;25
"230200 Barro";-;16;6;8;-;-;30
"230205 Barroquinha";-;5;2;2;-;-;9
"230210 Baturité";3;24;19;19;1;-;66
"230220 Beberibe";5;8;6;6;-;-;25
"230230 Bela Cruz";4;8;10;8;-;-;30
"230240 Boa Viagem";6;23;18;19;-;-;66
"230250 Brejo Santo";43;77;36;74;-;-;230
"230260 Camocim";11;35;15;27;2;2;92
"230270 Campos Sales";8;45;10;20;3;-;86
"230280 Canindé";29;50;20;25;1;-;125
"230290 Capistrano";-;8;2;4;-;-;14
"230300 Caridade";-;10;4;7;-;-;21
"230310 Cariré";-;10;4;4;-;-;18
"230320 Caririaçu";1;14;4;12;1;1;33
"230330 Cariús";-;10;3;3;-;-;16
"230340 Carnaubal";-;7;3;5;1;-;16
"230350 Cascavel";15;30;16;6;1;-;68
"230360 Catarina";2;8;4;4;-;-;18
"230365 Catunda";-;14;4;5;-;-;23
"230370 Caucaia";61;26;40;24;88;-;239
"230380 Cedro";8;25;12;7;2;-;54
"230390 Chaval";4;10;4;5;-;-;23
"230393 Choró";-;10;3;3;-;-;16
"230395 Chorozinho";-;6;2;-;-;-;8
"230400 Coreaú";-;6;2;4;2;-;14
"230410 Crateús";48;89;27;20;-;2;186
"230420 Crato";117;163;53;16;17;31;397
"230423 Croatá";7;18;5;7;-;-;37
"230425 Cruz";4;31;10;10;1;-;56
"230426 Deputado Irapuan Pinheiro";-;8;2;2;-;-;12
"230427 Ererê";-;6;1;2;-;-;9
"230428 Eusébio";12;18;18;6;22;44;120
"230430 Farias Brito";6;20;12;4;1;-;43
"230435 Forquilha";-;5;3;-;-;-;8
"230440 Fortaleza";3021;2153;696;904;1203;310;8287
"230445 Fortim";-;7;2;1;2;-;12
"230450 Frecheirinha";-;12;2;2;-;-;16
"230460 General Sampaio";-;6;4;3;-;-;13
"230470 Granja";10;22;10;6;2;-;50
"230480 Granjeiro";1;15;3;6;-;-;25
"230490 Groaíras";-;10;5;4;-;-;19
"230495 Guaiúba";-;6;-;7;-;-;13
"230500 Guaraciaba do Norte";6;20;8;6;-;-;40
"230510 Guaramiranga";-;6;1;4;-;-;11
"230520 Hidrolândia";1;11;6;4;1;-;23
"230523 Horizonte";8;20;13;6;1;-;48
"230526 Ibaretama";-;10;6;4;-;1;21
"230530 Ibiapina";4;12;3;6;12;-;37
"230533 Ibicuitinga";-;6;1;1;-;-;8
"230535 Icapuí";-;10;2;4;-;-;16
"230540 Icó";19;14;15;6;2;-;56
"230550 Iguatu";50;84;29;72;4;-;239
"230560 Independência";-;10;5;4;-;-;19
"230565 Ipaporanga";-;8;4;6;-;-;18
"230570 Ipaumirim";-;17;3;6;-;-;26
"230580 Ipu";20;57;39;26;2;-;144
"230590 Ipueiras";11;18;8;9;1;-;47
"230600 Iracema";2;16;6;7;-;-;31
"230610 Irauçuba";3;8;4;6;-;-;21
"230620 Itaiçaba";-;11;2;4;-;-;17
"230625 Itaitinga";-;10;6;10;-;-;26
"230630 Itapagé";3;15;8;8;2;-;36
"230640 Itapipoca";31;54;41;26;2;-;154
"230650 Itapiúna";-;12;7;9;-;-;28
"230655 Itarema";4;13;10;7;1;-;35
"230670 Jaguaretama";3;6;4;5;2;-;20
"230680 Jaguaribara";8;20;4;8;-;-;40
"230690 Jaguaribe";4;10;8;8;-;-;30
"230700 Jaguaruana";-;12;5;7;-;-;24
"230710 Jardim";6;32;9;17;-;-;64
"230720 Jati";5;15;5;8;-;-;33
"230725 Jijoca de Jericoacoara";7;6;5;6;-;-;24
"230730 Juazeiro do Norte";166;166;50;64;46;-;492
"230740 Jucás";4;8;6;6;1;-;25
"230750 Lavras da Mangabeira";8;17;10;12;-;-;47
"230760 Limoeiro do Norte";92;85;60;59;-;-;296
"230763 Madalena";-;16;4;4;-;-;24
"230765 Maracanaú";143;82;70;26;32;3;356
"230770 Maranguape";16;13;13;9;60;-;111
"230780 Marco";5;12;5;9;2;-;33
"230790 Martinópole";-;4;3;2;-;-;9
"230800 Massapê";4;14;6;6;-;-;30
"230810 Mauriti";9;31;10;20;-;-;70
"230820 Meruoca";-;10;4;6;-;-;20
"230830 Milagres";11;33;11;20;2;-;77
"230835 Milhã";-;16;5;6;1;-;28
"230840 Missão Velha";12;24;12;21;-;-;69
"230850 Mombaça";8;29;8;8;-;-;53
"230860 Monsenhor Tabosa";6;25;9;8;2;-;50
"230870 Morada Nova";47;37;27;38;2;-;151
"230880 Moraújo";-;6;3;3;-;-;12
"230890 Morrinhos";-;10;4;6;1;-;21
"230900 Mucambo";6;22;6;6;-;-;40
"230910 Mulungu";-;4;3;2;-;-;9
"230920 Nova Olinda";-;12;4;4;-;-;20
"230930 Nova Russas";6;19;11;7;-;-;43
"230940 Novo Oriente";-;10;5;5;-;-;20
"230945 Ocara";-;11;4;4;-;-;19
"230950 Orós";11;12;8;6;-;-;37
"230960 Pacajus";4;25;12;12;-;-;53
"230970 Pacatuba";-;16;3;-;-;-;19
"230980 Pacoti";-;11;4;5;-;-;20
"231000 Palhano";-;3;3;3;-;-;9
"231010 Palmácia";-;8;4;4;-;-;16
"231020 Paracuru";11;12;10;7;1;-;41
"231025 Paraipaba";-;15;4;5;1;-;25
"231030 Parambu";8;16;11;8;-;-;43
"231040 Paramoti";-;17;5;6;-;-;28
"231050 Pedra Branca";10;14;10;14;3;-;51
"231060 Penaforte";-;6;3;3;-;-;12
"231070 Pentecoste";18;12;10;11;-;-;51
"231080 Pereiro";6;10;5;4;-;-;25
"231085 Pindoretama";-;6;3;5;-;-;14
"231090 Piquet Carneiro";-;12;4;6;-;-;22
"231100 Poranga";2;6;3;10;-;-;21
"231110 Porteiras";-;14;3;5;-;-;22
"231120 Potengi";-;8;6;4;-;-;18
"231123 Potiretama";-;6;2;5;-;-;13
"231126 Quiterianópolis";-;10;2;5;-;-;17
"231130 Quixadá";20;24;33;13;9;-;99
"231135 Quixelô";2;10;4;6;2;-;24
"231140 Quixeramobim";91;92;47;53;27;-;310
"231150 Quixeré";-;16;4;5;-;-;25
"231160 Redenção";7;20;16;7;-;-;50
"231170 Reriutaba";-;16;4;6;-;-;26
"231180 Russas";112;61;23;36;7;-;239
"231190 Saboeiro";7;20;4;6;-;-;37
"231195 Salitre";-;8;2;4;-;-;14
"231220 Santa Quitéria";4;24;12;6;-;-;46
"231200 Santana do Acaraú";2;20;10;8;-;-;40
"231210 Santana do Cariri";-;8;4;7;2;-;21
"231230 São Benedito";6;18;9;9;-;-;42
"231240 São Gonçalo do Amarante";12;15;6;5;4;-;42
"231260 São Luís do Curu";-;10;5;5;-;-;20
"231270 Senador Pompeu";-;31;12;6;4;-;53
"231290 Sobral";252;305;109;116;39;-;821
"231300 Solonópole";-;12;6;6;2;-;26
"231310 Tabuleiro do Norte";14;24;9;13;2;-;62
"231320 Tamboril";4;20;6;7;2;-;39
"231325 Tarrafas";-;10;4;2;-;-;16
"231330 Tauá";26;63;20;20;2;-;131
"231335 Tejuçuoca";-;8;4;4;-;-;16
"231340 Tianguá";20;42;20;20;-;10;112
"231350 Trairi";-;6;5;2;-;-;13
"231355 Tururu";-;5;4;4;-;-;13
"231360 Ubajara";-;12;8;4;-;-;24
"231370 Umari";-;13;3;4;-;-;20
"231375 Umirim";-;7;2;4;-;-;13
"231380 Uruburetama";-;12;4;9;-;-;25
"231390 Uruoca";-;6;4;6;-;-;16
"231395 Varjota";-;10;2;6;1;-;19
"231400 Várzea Alegre";15;20;13;9;-;-;57
"231410 Viçosa do Ceará";9;24;13;22;1;-;69
"240010 Acari";6;14;12;8;-;-;40
"240020 Açu";15;21;10;-;-;-;46
"240050 Alexandria";48;35;24;17;-;-;124
"240060 Almino Afonso";15;16;12;7;-;-;50
"240070 Alto do Rodrigues";-;11;6;4;-;-;21
"240080 Angicos";4;14;6;4;-;-;28
"240090 Antônio Martins";4;17;5;6;-;-;32
"240100 Apodi";18;21;8;7;6;-;60
"240110 Areia Branca";4;18;8;4;-;-;34
"240120 Arês";5;8;6;6;1;-;26
"240140 Baía Formosa";-;3;5;1;-;-;9
"240145 Baraúna";-;17;2;2;-;-;21
"240150 Barcelona";-;6;3;3;-;-;12
"240160 Bento Fernandes";-;5;5;5;-;-;15
"240170 Bom Jesus";-;10;-;-;-;-;10
"240180 Brejinho";-;6;3;3;2;-;14
"240190 Caiçara do Rio do Vento";-;6;-;2;-;-;8
"240200 Caicó";65;76;21;14;8;-;184
"240210 Campo Redondo";-;8;-;-;-;-;8
"240230 Caraúbas";11;10;6;5;-;-;32
"240240 Carnaúba dos Dantas";3;16;9;5;-;-;33
"240250 Carnaubais";-;11;4;6;-;-;21
"240260 Ceará-Mirim";12;15;12;-;-;-;39
"240270 Cerro Corá";5;8;5;6;-;-;24
"240280 Coronel Ezequiel";-;7;3;2;-;-;12
"240290 Coronel João Pessoa";-;3;3;3;-;-;9
"240300 Cruzeta";-;8;2;2;-;-;12
"240310 Currais Novos";26;42;21;17;8;-;114
"240320 Doutor Severiano";-;12;-;-;-;-;12
"240330 Encanto";-;11;-;7;-;-;18
"240340 Equador";-;11;5;4;-;-;20
"240360 Extremoz";-;16;6;4;-;-;26
"240370 Felipe Guerra";-;10;2;3;-;-;15
"240400 Frutuoso Gomes";4;15;4;5;-;-;28
"240420 Goianinha";-;10;4;-;-;-;14
"240430 Governador Dix-Sept Rosado";-;8;-;4;-;-;12
"240440 Grossos";-;9;2;2;-;-;13
"240450 Guamaré";6;11;4;6;-;-;27
"240460 Ielmo Marinho";-;1;-;-;-;-;1
"240490 Itaú";-;9;3;3;-;-;15
"240500 Jaçanã";-;12;-;5;-;-;17
"240510 Jandaíra";-;3;-;-;-;-;3
"240520 Janduís";-;10;5;5;-;-;20
"240530 Januário Cicco";-;11;2;5;-;-;18
"240540 Japi";-;1;-;-;-;-;1
"240550 Jardim de Angicos";-;3;-;-;-;-;3
"240560 Jardim de Piranhas";1;15;5;4;-;-;25
"240570 Jardim do Seridó";11;12;4;6;-;-;33
"240580 João Câmara";6;12;10;6;-;-;34
"240590 João Dias";-;2;-;-;-;-;2
"240600 José da Penha";2;16;3;-;-;-;21
"240610 Jucurutu";14;19;8;7;-;-;48
"240620 Lagoa d'Anta";-;2;4;4;-;-;10
"240640 Lagoa de Velhos";-;4;2;2;-;-;8
"240650 Lagoa Nova";4;10;5;5;-;-;24
"240670 Lajes";7;14;4;6;-;-;31
"240680 Lajes Pintadas";-;8;-;-;-;-;8
"240690 Lucrécia";-;8;2;2;-;-;12
"240700 Luís Gomes";-;16;6;8;-;-;30
"240710 Macaíba";1;24;30;-;-;-;55
"240720 Macau";12;19;7;6;-;-;44
"240725 Major Sales";-;7;2;3;-;-;12
"240740 Martins";-;20;6;4;-;-;30
"240760 Messias Targino";2;7;4;3;-;-;16
"240770 Montanhas";-;14;4;1;-;-;19
"240780 Monte Alegre";-;11;6;4;-;-;21
"240790 Monte das Gameleiras";-;6;4;3;-;-;13
"240800 Mossoró";326;182;86;48;96;5;743
"240810 Natal";943;997;292;286;476;72;3066
"240820 Nísia Floresta";-;-;-;-;-;24;24
"240830 Nova Cruz";5;12;12;7;2;-;38
"240840 Olho-d'Água do Borges";-;7;3;4;-;-;14
"240860 Paraná";-;4;2;2;-;-;8
"240880 Parazinho";-;3;2;1;-;-;6
"240890 Parelhas";20;18;11;5;1;-;55
"240325 Parnamirim";88;20;24;6;-;5;143
"240910 Passa e Fica";8;8;7;7;-;-;30
"240930 Patu";9;14;17;5;-;-;45
"240940 Pau dos Ferros";54;41;35;24;-;-;154
"240960 Pedra Preta";-;4;-;-;-;-;4
"240980 Pedro Velho";-;6;3;2;-;-;11
"240990 Pendências";-;8;2;3;-;-;13
"241000 Pilões";-;4;3;3;-;-;10
"241010 Poço Branco";-;19;5;6;-;-;30
"241020 Portalegre";16;6;4;5;-;-;31
"241025 Porto do Mangue";-;2;-;-;-;-;2
"241050 Rafael Fernandes";-;8;-;-;-;-;8
"241060 Rafael Godeiro";3;6;6;4;-;-;19
"241070 Riacho da Cruz";-;10;2;5;-;-;17
"241090 Riachuelo";-;8;-;4;-;-;12
"240895 Rio do Fogo";-;4;2;2;-;-;8
"241100 Rodolfo Fernandes";-;8;5;5;-;-;18
"241110 Ruy Barbosa";1;5;4;3;-;-;13
"241120 Santa Cruz";23;34;35;7;51;1;151
"241140 Santana do Matos";4;10;7;4;-;-;25
"241142 Santana do Seridó";-;8;2;3;-;-;13
"241150 Santo Antônio";11;11;12;6;-;-;40
"241170 São Bento do Trairí";-;8;2;-;-;-;10
"241200 São Gonçalo do Amarante";14;16;14;20;-;-;64
"241210 São João do Sabugi";-;6;-;2;-;-;8
"241220 São José de Mipibu";5;-;48;5;-;40;98
"241230 São José do Campestre";-;13;2;-;1;-;16
"241240 São José do Seridó";-;9;-;3;-;-;12
"241250 São Miguel";13;20;32;20;6;-;91
"241255 São Miguel do Gostoso";-;4;3;-;-;-;7
"241260 São Paulo do Potengi";12;14;7;7;-;-;40
"241270 São Pedro";-;2;2;-;-;-;4
"241280 São Rafael";-;10;5;4;-;-;19
"241290 São Tomé";2;8;2;2;-;-;14
"241300 São Vicente";-;11;-;3;-;-;14
"241310 Senador Elói de Souza";-;6;1;-;-;-;7
"241030 Serra Caiada";-;12;5;5;-;-;22
"241330 Serra de São Bento";-;10;2;-;-;-;12
"241335 Serra do Mel";-;10;3;4;-;-;17
"241340 Serra Negra do Norte";-;16;2;4;-;-;22
"241355 Serrinha dos Pintos";-;6;3;4;-;-;13
"241360 Severiano Melo";-;11;-;4;-;-;15
"241370 Sítio Novo";-;4;4;4;-;-;12
"241380 Taboleiro Grande";-;8;4;2;-;-;14
"241390 Taipu";-;3;3;-;-;-;6
"241400 Tangará";-;8;4;4;1;-;17
"241410 Tenente Ananias";7;13;3;4;-;-;27
"241415 Tenente Laurentino Cruz";-;3;-;-;-;-;3
"241105 Tibau";-;10;-;4;-;-;14
"241420 Tibau do Sul";3;6;3;3;-;-;15
"241440 Touros";8;10;6;6;-;-;30
"241445 Triunfo Potiguar";-;8;2;2;-;-;12
"241460 Upanema";-;7;3;3;-;-;13
"241475 Venha-Ver";-;6;-;2;-;-;8
"241480 Vera Cruz";-;6;3;3;-;-;12
"241490 Viçosa";3;6;3;3;-;-;15
"241500 Vila Flor";6;4;6;5;-;-;21
"250010 Água Branca";-;10;4;6;-;-;20
"250020 Aguiar";-;9;-;3;-;-;12
"250030 Alagoa Grande";2;18;16;10;-;-;46
"250040 Alagoa Nova";1;17;1;9;-;-;28
"250060 Alhandra";8;-;7;-;-;-;15
"250090 Arara";-;12;2;3;-;-;17
"250110 Areia";5;20;4;7;-;-;36
"250130 Aroeiras";-;22;6;10;2;-;40
"250150 Bananeiras";5;13;7;12;-;-;37
"250180 Bayeux";5;22;12;9;-;-;48
"250190 Belém";6;10;5;4;-;-;25
"250200 Belém do Brejo do Cruz";1;18;7;5;-;-;31
"250210 Boa Ventura";-;3;-;-;-;-;3
"250230 Bom Sucesso";2;8;2;4;-;-;16
"250240 Bonito de Santa Fé";2;8;4;4;-;1;19
"250250 Boqueirão";-;14;10;6;13;-;43
"250280 Brejo do Cruz";2;10;8;5;-;-;25
"250290 Brejo dos Santos";2;11;2;3;-;-;18
"250300 Caaporã";5;14;5;13;1;-;38
"250320 Cabedelo";9;8;11;7;-;-;35
"250340 Cacimba de Areia";-;3;2;-;-;-;5
"250350 Cacimba de Dentro";1;10;6;5;-;-;22
"250370 Cajazeiras";55;127;18;19;-;2;221
"250400 Campina Grande";521;444;178;220;181;25;1569
"250430 Catolé do Rocha";10;16;15;21;2;-;64
"250440 Conceição";12;15;16;13;2;-;58
"250460 Conde";-;-;-;-;-;60;60
"250480 Coremas";4;20;5;10;-;-;39
"250500 Cubati";-;9;-;7;-;-;16
"250510 Cuité";17;21;10;15;4;-;67
"250570 Dona Inês";2;6;4;-;-;-;12
"250600 Esperança";6;10;5;5;-;-;26
"250620 Frei Martinho";2;13;-;3;-;-;18
"250630 Guarabira";68;36;41;56;-;6;207
"250650 Gurjão";-;4;-;-;-;-;4
"250660 Ibiara";-;12;-;-;-;-;12
"250680 Ingá";-;10;-;-;-;-;10
"250690 Itabaiana";8;8;19;6;-;-;41
"250700 Itaporanga";6;18;12;12;-;-;48
"250710 Itapororoca";5;4;5;4;-;-;18
"250730 Jacaraú";-;8;-;-;-;-;8
"250740 Jericó";2;3;3;4;-;-;12
"250750 João Pessoa";772;966;314;302;340;100;2794
"250770 Juazeirinho";-;11;2;4;1;-;18
"250790 Juripiranga";-;12;-;-;-;-;12
"250800 Juru";-;8;2;1;-;-;11
"250820 Lagoa de Dentro";-;10;4;5;-;-;19
"250830 Lagoa Seca";8;6;5;5;4;-;28
"250840 Lastro";2;4;2;2;-;-;10
"250860 Lucena";-;1;-;1;-;-;2
"250890 Mamanguape";15;34;21;24;10;-;104
"250910 Mari";-;6;-;-;-;-;6
"250920 Massaranduba";6;27;10;8;-;-;51
"250970 Monteiro";22;23;5;15;8;4;77
"250990 Natuba";-;10;5;4;-;-;19
"251010 Nova Floresta";-;19;-;-;-;-;19
"251020 Nova Olinda";-;11;4;7;-;-;22
"251040 Olho d'Água";-;1;-;-;-;-;1
"251080 Patos";88;114;56;61;-;-;319
"251090 Paulista";3;14;4;5;-;-;26
"251110 Pedra Lavrada";4;10;-;6;-;-;20
"251120 Pedras de Fogo";9;17;9;8;4;-;47
"251130 Piancó";12;30;5;15;24;-;86
"251140 Picuí";24;47;12;17;-;-;100
"251150 Pilar";-;9;4;5;1;-;19
"251200 Pocinhos";-;34;14;9;-;-;57
"251210 Pombal";12;26;25;13;18;-;94
"251230 Princesa Isabel";11;16;14;6;8;-;55
"251250 Queimadas";10;10;8;8;-;-;36
"251280 Riacho dos Cavalos";-;5;-;3;-;-;8
"251320 Santa Cruz";-;8;-;5;-;-;13
"251335 Santa Inês";-;10;-;-;-;-;10
"251340 Santa Luzia";13;13;5;5;-;-;36
"251370 Santa Rita";37;70;39;17;-;-;163
"251385 Santo André";-;6;-;-;-;-;6
"251390 São Bento";5;15;8;6;13;-;47
"250070 São João do Rio do Peixe";-;17;7;4;-;-;28
"251420 São José da Lagoa Tapada";-;3;-;-;-;-;3
"251430 São José de Caiana";-;8;3;4;-;-;15
"251450 São José de Piranhas";-;14;3;-;-;-;17
"251470 São José do Sabugi";-;-;4;-;-;-;4
"251490 São Mamede";6;10;3;7;-;-;26
"251540 São Vicente do Seridó";-;20;4;-;-;-;24
"251530 Sapé";14;47;6;10;1;-;78
"251550 Serra Branca";10;21;10;15;2;-;58
"251570 Serra Grande";-;12;-;-;-;-;12
"251590 Serraria";-;7;-;-;-;-;7
"251600 Solânea";8;12;7;7;-;-;34
"251610 Soledade";1;14;4;2;1;-;22
"251620 Sousa";55;49;67;46;-;-;217
"251630 Sumé";9;16;8;6;2;-;41
"251650 Taperoá";12;27;6;7;-;-;52
"251660 Tavares";-;13;3;7;-;-;23
"251670 Teixeira";5;21;7;5;1;-;39
"251690 Uiraúna";6;26;7;8;-;-;47
"260005 Abreu e Lima";91;59;72;24;8;40;294
"260010 Afogados da Ingazeira";42;54;45;32;8;-;181
"260020 Afrânio";4;18;14;9;-;-;45
"260030 Agrestina";11;42;11;2;42;15;123
"260040 Água Preta";10;20;8;12;-;-;50
"260050 Águas Belas";-;15;7;4;4;-;30
"260060 Alagoinha";2;5;1;3;-;-;11
"260070 Aliança";4;10;8;4;-;-;26
"260080 Altinho";3;6;6;3;-;-;18
"260090 Amaraji";5;13;8;5;-;-;31
"260100 Angelim";-;8;2;2;-;-;12
"260105 Araçoiaba";-;2;-;-;1;-;3
"260110 Araripina";35;90;46;34;6;-;211
"260120 Arcoverde";24;68;26;23;3;-;144
"260130 Barra de Guabiraba";-;4;3;4;-;-;11
"260140 Barreiros";40;6;10;8;48;17;129
"260150 Belém de Maria";-;6;3;-;-;-;9
"260160 Belém do São Francisco";-;16;-;8;-;-;24
"260170 Belo Jardim";19;31;35;10;-;-;95
"260180 Betânia";2;3;2;3;-;-;10
"260190 Bezerros";65;53;11;1;11;-;141
"260200 Bodocó";-;6;5;5;-;-;16
"260210 Bom Conselho";8;22;8;4;4;-;46
"260220 Bom Jardim";-;19;8;6;-;-;33
"260230 Bonito";10;18;10;14;-;-;52
"260240 Brejão";2;7;4;1;-;-;14
"260250 Brejinho";-;2;1;4;-;-;7
"260260 Brejo da Madre de Deus";5;14;5;6;1;-;31
"260270 Buenos Aires";3;8;6;-;-;-;17
"260280 Buíque";-;43;17;16;-;-;76
